State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
madhya pradesh,dhar,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,dindori,109,108,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,east nimar,102,102,102,102,102,102,102,102,102,102,102,102,102
madhya pradesh,guna,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,gwalior,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,harda,109,107,107,109,108,109,109,109,109,109,109,109,109
madhya pradesh,hoshangabad,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,indore,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,jabalpur,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,jhabua,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,katni,109,108,109,108,108,108,109,109,109,109,109,109,109
madhya pradesh,khandwa,7,7,7,7,7,7,7,7,7,7,7,7,7
madhya pradesh,khargone,7,7,7,7,7,7,7,7,7,7,7,7,7
madhya pradesh,mandla,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,mandsaur,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,morena,109,108,108,109,109,109,109,109,109,109,109,109,109
madhya pradesh,narsinghpur,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,neemuch,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,panna,109,109,109,108,109,109,109,109,109,109,109,109,109
madhya pradesh,raisen,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,rajgarh,109,109,109,108,109,109,109,109,109,109,109,109,109
madhya pradesh,ratlam,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,rewa,109,109,109,108,109,109,109,109,109,109,109,108,109
madhya pradesh,sagar,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,satna,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,sehore,109,108,108,108,107,109,109,109,109,109,109,109,109
madhya pradesh,seoni,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,shahdol,109,108,108,109,108,109,109,109,109,109,109,109,109
madhya pradesh,shajapur,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,sheopur,109,108,108,108,108,109,109,109,109,109,109,109,109
madhya pradesh,shivpuri,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,sidhi,109,109,109,108,109,109,109,109,109,109,109,109,109
madhya pradesh,tikamgarh,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,ujjain,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,umaria,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,vidisha,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,west nimar,102,102,102,102,102,102,102,102,102,102,102,102,102
maharashtra,ahmednagar,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,akola,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,amravati,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,aurangabad,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,beed,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,bhandara,109,106,107,106,105,106,109,109,109,109,109,108,108
maharashtra,buldana,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,chandrapur,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,dhule,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,gadchiroli,109,108,109,108,108,107,109,109,109,109,109,108,107
maharashtra,gondia,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,hingoli,102,102,102,102,102,102,102,102,102,102,102,102,102
maharashtra,jalgaon,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,jalna,109,109,109,108,109,109,109,109,109,109,109,109,109
maharashtra,kolhapur,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,latur,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,mumbai,7,7,7,7,7,7,7,7,7,7,7,7,7
maharashtra,nagpur,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,nanded,109,109,109,108,109,109,109,109,109,109,109,109,109
maharashtra,nandurbar,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,nashik,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,osmanabad,109,109,109,109,109,109,109,109,109,109,109,109,109
